name,salary,salary_raw_py,year,salary_as_float
Player-0,"$23,564,932.00",23564932.0,2021,23564932.0
Player-1,"$19,122,655.00",19122655.0,2021,19122655.0
Player-2,"$9,926,467.00",9926467.0,2021,9926467.0
Player-3,"$44,055,782.00",44055782.0,2021,44055782.0
Player-4,"$41,113,231.00",41113231.0,2021,41113231.0
Player-5,"$38,515,477.00",38515477.0,2021,38515477.0
Player-6,"$24,941,389.00",24941389.0,2021,24941389.0
Player-7,"$4,216,796.00",4216796.0,2021,4216796.0
Player-8,"$38,472,958.00",38472958.0,2021,38472958.0
Player-9,"$37,072,615.00",37072615.0,2021,37072615.0
Player-10,"$24,627,994.00",24627994.0,2021,24627994.0
Player-11,"$15,656,467.00",15656467.0,2021,15656467.0
Player-12,"$44,230,432.00",44230432.0,2021,44230432.0
Player-13,"$28,898,355.00",28898355.0,2021,28898355.0
Player-14,"$9,360,168.00",9360168.0,2021,9360168.0
Player-15,"$40,550,209.00",40550209.0,2021,40550209.0
Player-16,"$47,099,973.00",47099973.0,2021,47099973.0
Player-17,"$44,857,116.00",44857116.0,2021,44857116.0
Player-18,"$18,961,730.00",18961730.0,2021,18961730.0
Player-19,"$6,411,070.00",6411070.0,2021,6411070.0
Player-20,"$22,392,884.00",22392884.0,2021,22392884.0
Player-21,"$38,419,389.00",38419389.0,2021,38419389.0
Player-22,"$5,147,141.00",5147141.0,2021,5147141.0
Player-23,"$14,440,973.00",14440973.0,2021,14440973.0
Player-24,"$7,987,556.00",7987556.0,2021,7987556.0
Player-25,"$20,799,362.00",20799362.0,2021,20799362.0
Player-26,"$36,259,015.00",36259015.0,2021,36259015.0
Player-27,"$47,256,440.00",47256440.0,2021,47256440.0
Player-28,"$16,706,382.00",16706382.0,2021,16706382.0
Player-29,"$26,181,563.00",26181563.0,2021,26181563.0
Player-30,"$20,982,648.00",20982648.0,2021,20982648.0
Player-31,"$31,290,916.00",31290916.0,2021,31290916.0
Player-32,"$45,526,224.00",45526224.0,2021,45526224.0
Player-33,"$11,161,954.00",11161954.0,2021,11161954.0
Player-34,"$4,703,055.00",4703055.0,2021,4703055.0
Player-35,"$4,500,971.00",4500971.0,2021,4500971.0
Player-36,"$32,615,395.00",32615395.0,2021,32615395.0
Player-37,"$32,661,868.00",32661868.0,2021,32661868.0
Player-38,"$13,141,247.00",13141247.0,2021,13141247.0
Player-39,"$45,928,956.00",45928956.0,2021,45928956.0
Player-40,"$1,794,957.00",1794957.0,2021,1794957.0
Player-41,"$29,988,773.00",29988773.0,2021,29988773.0
Player-42,"$35,721,507.00",35721507.0,2021,35721507.0
Player-43,"$7,200,865.00",7200865.0,2021,7200865.0
Player-44,"$44,741,268.00",44741268.0,2021,44741268.0
Player-45,"$2,035,660.00",2035660.0,2021,2035660.0
Player-46,"$31,591,784.00",31591784.0,2021,31591784.0
Player-47,"$14,269,633.00",14269633.0,2021,14269633.0
Player-48,"$14,685,822.00",14685822.0,2021,14685822.0
Player-49,"$44,226,547.00",44226547.0,2021,44226547.0
Player-50,"$20,484,781.00",20484781.0,2021,20484781.0
Player-51,"$10,309,771.00",10309771.0,2021,10309771.0
Player-52,"$5,464,299.00",5464299.0,2021,5464299.0
Player-53,"$15,884,172.00",15884172.0,2021,15884172.0
Player-54,"$48,155,892.00",48155892.0,2021,48155892.0
Player-55,"$30,958,364.00",30958364.0,2021,30958364.0
Player-56,"$8,252,851.00",8252851.0,2021,8252851.0
Player-57,"$11,937,134.00",11937134.0,2021,11937134.0
Player-58,"$19,271,965.00",19271965.0,2021,19271965.0
Player-59,"$24,433,176.00",24433176.0,2021,24433176.0
Player-60,"$22,254,664.00",22254664.0,2021,22254664.0
Player-61,"$22,248,516.00",22248516.0,2021,22248516.0
Player-62,"$28,287,889.00",28287889.0,2021,28287889.0
Player-63,"$26,329,410.00",26329410.0,2021,26329410.0
Player-64,"$25,716,286.00",25716286.0,2021,25716286.0
Player-65,"$36,676,054.00",36676054.0,2021,36676054.0
Player-66,"$3,502,251.00",3502251.0,2021,3502251.0
Player-67,"$30,615,303.00",30615303.0,2021,30615303.0
Player-68,"$10,914,569.00",10914569.0,2021,10914569.0
Player-69,"$38,700,332.00",38700332.0,2021,38700332.0
Player-70,"$33,989,418.00",33989418.0,2021,33989418.0
Player-71,"$49,887,175.00",49887175.0,2021,49887175.0
Player-72,"$40,143,675.00",40143675.0,2021,40143675.0
Player-73,"$10,489,167.00",10489167.0,2021,10489167.0
Player-74,"$37,724,535.00",37724535.0,2021,37724535.0
Player-75,"$39,281,900.00",39281900.0,2021,39281900.0
Player-76,"$45,963,678.00",45963678.0,2021,45963678.0
Player-77,"$5,021,758.00",5021758.0,2021,5021758.0
Player-78,"$5,285,819.00",5285819.0,2021,5285819.0
Player-79,"$1,207,458.00",1207458.0,2021,1207458.0
Player-80,"$36,122,811.00",36122811.0,2021,36122811.0
Player-81,"$22,091,316.00",22091316.0,2021,22091316.0
Player-82,"$41,017,086.00",41017086.0,2021,41017086.0
Player-83,"$2,043,600.00",2043600.0,2021,2043600.0
Player-84,"$8,584,491.00",8584491.0,2021,8584491.0
Player-85,"$33,564,149.00",33564149.0,2021,33564149.0
Player-86,"$43,078,239.00",43078239.0,2021,43078239.0
Player-87,"$49,101,663.00",49101663.0,2021,49101663.0
Player-88,"$26,247,227.00",26247227.0,2021,26247227.0
Player-89,"$12,405,506.00",12405506.0,2021,12405506.0
Player-90,"$39,305,926.00",39305926.0,2021,39305926.0
Player-91,"$1,654,474.00",1654474.0,2021,1654474.0
Player-92,"$48,957,095.00",48957095.0,2021,48957095.0
Player-93,"$20,777,301.00",20777301.0,2021,20777301.0
Player-94,"$46,170,592.00",46170592.0,2021,46170592.0
Player-95,"$38,249,733.00",38249733.0,2021,38249733.0
Player-96,"$25,241,860.00",25241860.0,2021,25241860.0
Player-97,"$3,306,859.00",3306859.0,2021,3306859.0
Player-98,"$23,834,090.00",23834090.0,2021,23834090.0
Player-99,"$26,746,689.00",26746689.0,2021,26746689.0
Player-100,"$19,352,078.00",19352078.0,2021,19352078.0
Player-101,"$22,010,361.00",22010361.0,2021,22010361.0
Player-102,"$34,667,543.00",34667543.0,2021,34667543.0
Player-103,"$45,379,053.00",45379053.0,2021,45379053.0
Player-104,"$6,657,466.00",6657466.0,2021,6657466.0
Player-105,"$35,268,887.00",35268887.0,2021,35268887.0
Player-106,"$16,245,453.00",16245453.0,2021,16245453.0
Player-107,"$37,920,694.00",37920694.0,2021,37920694.0
Player-108,"$18,410,519.00",18410519.0,2021,18410519.0
Player-109,"$13,709,915.00",13709915.0,2021,13709915.0
Player-110,"$45,693,171.00",45693171.0,2021,45693171.0
Player-111,"$11,716,275.00",11716275.0,2021,11716275.0
Player-112,"$13,531,813.00",13531813.0,2021,13531813.0
Player-113,"$20,469,358.00",20469358.0,2021,20469358.0
Player-114,"$5,060,803.00",5060803.0,2021,5060803.0
Player-115,"$33,345,147.00",33345147.0,2021,33345147.0
Player-116,"$43,466,213.00",43466213.0,2021,43466213.0
Player-117,"$6,443,047.00",6443047.0,2021,6443047.0
Player-118,"$21,225,246.00",21225246.0,2021,21225246.0
Player-119,"$32,546,300.00",32546300.0,2021,32546300.0
Player-120,"$23,204,786.00",23204786.0,2021,23204786.0
Player-121,"$42,351,342.00",42351342.0,2021,42351342.0
Player-122,"$46,177,803.00",46177803.0,2021,46177803.0
Player-123,"$20,260,186.00",20260186.0,2021,20260186.0
Player-124,"$13,620,120.00",13620120.0,2021,13620120.0
Player-125,"$14,072,409.00",14072409.0,2021,14072409.0
Player-126,"$1,010,452.00",1010452.0,2021,1010452.0
Player-127,"$43,158,502.00",43158502.0,2021,43158502.0
Player-128,"$5,508,345.00",5508345.0,2021,5508345.0
Player-129,"$28,813,051.00",28813051.0,2021,28813051.0
Player-130,"$45,060,665.00",45060665.0,2021,45060665.0
Player-131,"$34,753,451.00",34753451.0,2021,34753451.0
Player-132,"$48,086,245.00",48086245.0,2021,48086245.0
Player-133,"$13,845,403.00",13845403.0,2021,13845403.0
Player-134,"$21,861,023.00",21861023.0,2021,21861023.0
Player-135,"$25,056,947.00",25056947.0,2021,25056947.0
Player-136,"$44,433,298.00",44433298.0,2021,44433298.0
Player-137,"$27,941,271.00",27941271.0,2021,27941271.0
Player-138,"$8,247,611.00",8247611.0,2021,8247611.0
Player-139,"$30,840,211.00",30840211.0,2021,30840211.0
Player-140,"$28,035,186.00",28035186.0,2021,28035186.0
Player-141,"$24,190,068.00",24190068.0,2021,24190068.0
Player-142,"$47,898,027.00",47898027.0,2021,47898027.0
Player-143,"$627,003.00",627003.0,2021,627003.0
Player-144,"$16,073,233.00",16073233.0,2021,16073233.0
Player-145,"$25,963,711.00",25963711.0,2021,25963711.0
Player-146,"$18,964,405.00",18964405.0,2021,18964405.0
Player-147,"$21,479,189.00",21479189.0,2021,21479189.0
Player-148,"$45,170,481.00",45170481.0,2021,45170481.0
Player-149,"$623,092.00",623092.0,2021,623092.0
Player-150,"$33,588,058.00",33588058.0,2021,33588058.0
Player-151,"$30,316,273.00",30316273.0,2021,30316273.0
Player-152,"$36,168,581.00",36168581.0,2021,36168581.0
Player-153,"$21,670,999.00",21670999.0,2021,21670999.0
Player-154,"$36,608,781.00",36608781.0,2021,36608781.0
Player-155,"$15,371,768.00",15371768.0,2021,15371768.0
Player-156,"$9,276,279.00",9276279.0,2021,9276279.0
Player-157,"$18,880,617.00",18880617.0,2021,18880617.0
Player-158,"$38,290,691.00",38290691.0,2021,38290691.0
Player-159,"$41,956,566.00",41956566.0,2021,41956566.0
Player-160,"$13,092,203.00",13092203.0,2021,13092203.0
Player-161,"$3,421,015.00",3421015.0,2021,3421015.0
Player-162,"$29,287,063.00",29287063.0,2021,29287063.0
Player-163,"$30,885,919.00",30885919.0,2021,30885919.0
Player-164,"$20,099,569.00",20099569.0,2021,20099569.0
Player-165,"$1,224,000.00",1224000.0,2021,1224000.0
Player-166,"$10,501,327.00",10501327.0,2021,10501327.0
Player-167,"$22,925,621.00",22925621.0,2021,22925621.0
Player-168,"$49,771,004.00",49771004.0,2021,49771004.0
Player-169,"$27,864,580.00",27864580.0,2021,27864580.0
Player-170,"$17,679,526.00",17679526.0,2021,17679526.0
Player-171,"$28,372,353.00",28372353.0,2021,28372353.0
Player-172,"$46,729,483.00",46729483.0,2021,46729483.0
Player-173,"$22,901,294.00",22901294.0,2021,22901294.0
Player-174,"$13,312,541.00",13312541.0,2021,13312541.0
Player-175,"$22,425,322.00",22425322.0,2021,22425322.0
Player-176,"$3,899,270.00",3899270.0,2021,3899270.0
Player-177,"$2,102,268.00",2102268.0,2021,2102268.0
Player-178,"$9,298,252.00",9298252.0,2021,9298252.0
Player-179,"$1,949,491.00",1949491.0,2021,1949491.0
Player-180,"$35,219,359.00",35219359.0,2021,35219359.0
Player-181,"$2,820,143.00",2820143.0,2021,2820143.0
Player-182,"$28,641,582.00",28641582.0,2021,28641582.0
Player-183,"$10,322,908.00",10322908.0,2021,10322908.0
Player-184,"$49,834,281.00",49834281.0,2021,49834281.0
Player-185,"$6,257,842.00",6257842.0,2021,6257842.0
Player-186,"$11,154,501.00",11154501.0,2021,11154501.0
Player-187,"$23,942,667.00",23942667.0,2021,23942667.0
Player-188,"$13,125,004.00",13125004.0,2021,13125004.0
Player-189,"$31,721,837.00",31721837.0,2021,31721837.0
Player-190,"$1,740,759.00",1740759.0,2021,1740759.0
Player-191,"$22,255,415.00",22255415.0,2021,22255415.0
Player-192,"$8,772,102.00",8772102.0,2021,8772102.0
